CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Total,White-British,White-Irish,White-Gypsy or Irish Traveller, White-Other White,Mixed-White and Black Caribbean,Mixed-White and Black African,Mixed-White and Asian,Mixed-Other Mixed,Asian-Indian,Asian-Pakistani ,Asian-Bangladeshi,Asian-Chinese,Asian-Other Asian,Black-African,Black-Caribbean,Black-Other Black,Other-Arab ,Other-Any other ethnic group
73977,E00013829,E00013829,Output Areas and Small Areas,OASA,294,116,10,1,41,8,1,1,13,7,1,0,3,2,28,12,17,1,32
73978,E00013830,E00013830,Output Areas and Small Areas,OASA,257,137,20,2,40,6,0,3,0,4,0,5,1,7,10,14,3,1,4
73979,E00013831,E00013831,Output Areas and Small Areas,OASA,370,246,13,0,51,0,1,6,3,1,2,7,1,4,10,6,7,6,6
73980,E00013832,E00013832,Output Areas and Small Areas,OASA,235,89,6,1,46,4,6,2,6,4,0,14,7,1,18,17,7,0,7
73981,E00013833,E00013833,Output Areas and Small Areas,OASA,207,137,8,0,30,2,5,3,3,1,0,0,2,0,2,2,4,0,8
73982,E00013834,E00013834,Output Areas and Small Areas,OASA,297,200,6,0,32,4,0,4,5,11,1,7,3,2,3,14,3,0,2
73983,E00013835,E00013835,Output Areas and Small Areas,OASA,576,122,6,0,81,31,28,7,8,0,0,42,8,16,92,36,51,6,42
73984,E00013836,E00013836,Output Areas and Small Areas,OASA,258,143,13,0,33,3,3,6,3,4,1,9,4,8,10,9,2,0,7
73985,E00013837,E00013837,Output Areas and Small Areas,OASA,355,180,13,0,30,15,1,8,15,3,0,13,1,10,19,22,7,0,18
73986,E00013838,E00013838,Output Areas and Small Areas,OASA,327,156,6,0,53,5,5,6,16,2,2,6,1,5,14,13,3,15,19
73987,E00013839,E00013839,Output Areas and Small Areas,OASA,245,114,6,0,48,9,2,2,2,0,0,0,0,0,11,22,9,3,17
73988,E00013840,E00013840,Output Areas and Small Areas,OASA,362,190,19,0,51,15,2,2,6,6,1,0,17,13,13,17,3,5,2
