CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,AB(16-64),C1(16-64),C2(16-64),DE(16-64)
64726,E00004300,E00004300,Output Areas and Small Areas,OASA,57,75,31,44
64727,E00004301,E00004301,Output Areas and Small Areas,OASA,131,104,76,108
64728,E00004302,E00004302,Output Areas and Small Areas,OASA,79,62,23,63
64729,E00004303,E00004303,Output Areas and Small Areas,OASA,141,53,10,8
64730,E00004304,E00004304,Output Areas and Small Areas,OASA,165,86,36,25
64731,E00004305,E00004305,Output Areas and Small Areas,OASA,125,89,7,16
64732,E00004306,E00004306,Output Areas and Small Areas,OASA,118,96,4,10
64733,E00004307,E00004307,Output Areas and Small Areas,OASA,111,102,6,21
64734,E00004308,E00004308,Output Areas and Small Areas,OASA,116,51,14,21
64735,E00004309,E00004309,Output Areas and Small Areas,OASA,132,69,9,9
64736,E00004310,E00004310,Output Areas and Small Areas,OASA,125,66,5,16
64737,E00004311,E00004311,Output Areas and Small Areas,OASA,96,61,11,19
64738,E00004312,E00004312,Output Areas and Small Areas,OASA,160,41,14,19
64739,E00004313,E00004313,Output Areas and Small Areas,OASA,126,63,6,5
64740,E00004314,E00004314,Output Areas and Small Areas,OASA,118,72,38,29
64741,E00004315,E00004315,Output Areas and Small Areas,OASA,140,70,15,20
64742,E00004316,E00004316,Output Areas and Small Areas,OASA,69,75,28,42
64743,E00004317,E00004317,Output Areas and Small Areas,OASA,163,98,19,34
64744,E00004318,E00004318,Output Areas and Small Areas,OASA,130,61,22,12
64745,E00004319,E00004319,Output Areas and Small Areas,OASA,114,97,3,16
64746,E00004320,E00004320,Output Areas and Small Areas,OASA,118,46,3,11
64747,E00004321,E00004321,Output Areas and Small Areas,OASA,125,54,5,15
64748,E00004322,E00004322,Output Areas and Small Areas,OASA,107,49,6,13
64749,E00004323,E00004323,Output Areas and Small Areas,OASA,78,40,15,40
64750,E00004324,E00004324,Output Areas and Small Areas,OASA,123,46,8,3
64751,E00004325,E00004325,Output Areas and Small Areas,OASA,86,48,7,5
64752,E00004326,E00004326,Output Areas and Small Areas,OASA,62,74,18,6
64753,E00004327,E00004327,Output Areas and Small Areas,OASA,124,56,8,13
64754,E00004328,E00004328,Output Areas and Small Areas,OASA,99,41,8,15
64755,E00004329,E00004329,Output Areas and Small Areas,OASA,110,67,4,20
64756,E00004330,E00004330,Output Areas and Small Areas,OASA,142,76,10,4
64757,E00004331,E00004331,Output Areas and Small Areas,OASA,106,50,9,34
64758,E00004332,E00004332,Output Areas and Small Areas,OASA,80,29,2,13
64759,E00004333,E00004333,Output Areas and Small Areas,OASA,110,68,6,3
64760,E00004334,E00004334,Output Areas and Small Areas,OASA,68,55,10,9
64761,E00004335,E00004335,Output Areas and Small Areas,OASA,127,60,13,20
64762,E00004336,E00004336,Output Areas and Small Areas,OASA,157,86,23,19
64763,E00004337,E00004337,Output Areas and Small Areas,OASA,88,61,8,21
64764,E00004338,E00004338,Output Areas and Small Areas,OASA,122,37,4,5
64765,E00004339,E00004339,Output Areas and Small Areas,OASA,88,57,4,21
64766,E00004340,E00004340,Output Areas and Small Areas,OASA,88,68,1,28
64767,E00004341,E00004341,Output Areas and Small Areas,OASA,123,52,0,9
64768,E00004342,E00004342,Output Areas and Small Areas,OASA,106,40,3,3
64769,E00004343,E00004343,Output Areas and Small Areas,OASA,124,34,9,3
64770,E00004344,E00004344,Output Areas and Small Areas,OASA,97,59,9,20
64771,E00004345,E00004345,Output Areas and Small Areas,OASA,121,45,9,4
64772,E00004346,E00004346,Output Areas and Small Areas,OASA,57,56,22,12
64773,E00004347,E00004347,Output Areas and Small Areas,OASA,112,32,6,22
64774,E00004348,E00004348,Output Areas and Small Areas,OASA,104,59,11,17
64775,E00004349,E00004349,Output Areas and Small Areas,OASA,150,50,7,8
64776,E00004350,E00004350,Output Areas and Small Areas,OASA,99,44,3,4
64777,E00004351,E00004351,Output Areas and Small Areas,OASA,111,31,5,13
64778,E00004352,E00004352,Output Areas and Small Areas,OASA,150,30,0,8
64779,E00004353,E00004353,Output Areas and Small Areas,OASA,95,35,6,8
64780,E00004354,E00004354,Output Areas and Small Areas,OASA,113,33,6,14
64781,E00004355,E00004355,Output Areas and Small Areas,OASA,88,50,17,12
64782,E00004356,E00004356,Output Areas and Small Areas,OASA,139,60,6,5
64783,E00004357,E00004357,Output Areas and Small Areas,OASA,176,33,6,5
64784,E00004358,E00004358,Output Areas and Small Areas,OASA,90,45,16,28
64785,E00004359,E00004359,Output Areas and Small Areas,OASA,113,67,2,5
64786,E00004360,E00004360,Output Areas and Small Areas,OASA,126,40,7,12
64787,E00004361,E00004361,Output Areas and Small Areas,OASA,73,33,3,27
64788,E00004362,E00004362,Output Areas and Small Areas,OASA,51,65,30,81
64789,E00004363,E00004363,Output Areas and Small Areas,OASA,38,76,26,120
64790,E00004364,E00004364,Output Areas and Small Areas,OASA,83,100,56,131
64791,E00004365,E00004365,Output Areas and Small Areas,OASA,130,62,4,12
64792,E00004366,E00004366,Output Areas and Small Areas,OASA,21,63,30,80
64793,E00004367,E00004367,Output Areas and Small Areas,OASA,34,72,26,92
64794,E00004368,E00004368,Output Areas and Small Areas,OASA,165,76,8,5
64795,E00004369,E00004369,Output Areas and Small Areas,OASA,23,48,38,45
64796,E00004370,E00004370,Output Areas and Small Areas,OASA,24,61,21,48
