age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
23,1,3,-9,1,0,2,1,15,1
58,1,4,-9,2,1,2,1,10,2
35,2,6,2,2,0,14,16,11,4
1,2,6,3,1,0,-9,13,-9,-9
21,2,4,-9,1,0,2,15,15,1
23,2,6,-9,1,1,1,11,12,4
63,1,2,2,2,1,6,13,12,2
5,1,4,-9,1,0,-9,1,-9,-9
29,1,3,-9,1,0,2,1,15,1
11,1,5,3,1,1,-9,4,-9,-9
25,2,2,1,1,0,7,4,14,1
31,1,2,-9,1,1,2,1,15,1
30,2,2,-9,2,0,13,1,15,1
30,2,1,-9,1,0,2,4,15,2
35,2,1,-9,1,1,2,1,15,1
22,2,2,-9,1,0,5,1,11,2
70,1,3,-9,2,1,12,1,15,-9
26,2,3,-9,1,1,2,6,15,2
2,1,5,-9,1,0,-9,5,-9,-9
48,2,4,-9,2,1,1,16,10,4
38,1,5,-9,2,1,2,18,16,2
45,2,2,-9,1,0,2,15,14,2
18,2,2,-9,1,0,13,1,12,4
28,2,3,-9,1,0,2,1,14,1
22,2,4,-9,1,4,2,1,15,1
68,2,6,-9,4,1,2,8,15,-9
61,1,3,-9,4,1,4,1,15,1
70,1,2,-9,2,2,4,4,16,-9
64,2,3,-9,5,2,12,1,10,1
61,2,1,-9,5,0,2,4,14,4
42,2,3,-9,1,1,5,1,15,1
14,2,4,-9,1,2,-9,9,-9,-9
52,1,1,-9,1,1,2,1,12,3
85,1,1,-9,6,0,12,1,15,-9
52,2,1,-9,1,0,15,1,14,4
32,1,1,2,1,1,2,4,15,1
16,1,4,-9,1,1,13,1,12,4
48,2,3,-9,5,1,2,1,15,2
43,2,2,1,1,1,6,11,15,1
45,1,5,-9,1,2,14,18,16,4
29,1,2,-9,1,1,2,1,15,1
40,2,2,-9,2,1,5,1,15,2
28,1,2,-9,1,1,2,1,15,1
66,2,1,-9,5,1,12,1,15,-9
80,2,2,-9,1,0,12,1,10,-9
31,1,4,-9,2,1,6,1,15,1
2,2,4,-9,1,1,-9,1,-9,-9
70,2,2,-9,4,1,6,4,15,-9
75,1,3,-9,2,0,12,1,15,-9
60,1,1,2,3,0,2,13,10,3
60,2,2,1,6,0,12,4,16,1
37,1,7,-9,2,0,1,1,16,4
19,1,5,-9,1,0,7,8,12,4
28,2,1,-9,1,0,2,4,15,2
24,2,3,-9,1,0,2,1,15,1
28,2,2,-9,1,0,6,12,16,2
